community,avg_inner_edge_weight
204937,3.666666667
67991,3
189434,2.333333333
274684,2
728121,2.5
1371437,2
562124,2.857142857
370279,2
259181,3
233333,2.5
122235,3
93184,6
303080,2
166134,4
55036,2
162931,2
137083,2
137,2.75
25985,2.444444444
564672,2
395409,4
287577,1.833333333
963210,3
92466,1.666666667
261729,2
124783,5.5
1381306,2
775420,2
99787,2.666666667
498325,3
361379,2
58436,1.931034483
32588,3.30952381
61702,2.5
294180,2.333333333
128183,2
154031,3
17085,2.52173913
102335,2.777777778
692718,2
666870,2.333333333
157297,7
389775,2
500873,2
223778,2.285714286
112680,6
197930,2
60984,4
1434895,2
1297949,2.333333333
485370,2
156579,4.333333333
130731,2
296791,2.333333333
226326,3
931862,2
93498,1.555555556
67650,3
698666,2
1400147,2
23033,2.166666667
189093,2
137397,3.5
26299,2
424837,7.333333333
258840,2
147742,2
96046,3.666666667
357638,2
188375,2.5
217489,2
54695,4
25644,2.4
427385,2
261388,2.142857143
150290,2.5
95391,4
522980,2
54040,2
335190,2.25
58095,3.666666667
156893,7.666666667
581279,2
252488,2.510204082
223437,2
86491,2.848484848
322235,2
694925,3
19292,2.8
499877,2
532194,2
114887,3
225985,2
59988,3.777777778
458526,2
321580,2.636363636
184634,6
188689,2
328901,2
191955,3.5
698325,2
25958,2.236842105
1403072,5
1096863,2
284284,5
287550,3
150604,3
121553,3
95705,2
490977,2
328183,2.857142857
191300,3.7
80202,2.285714286
54354,4
124101,2.333333333
519373,3
385693,2
190582,6
82750,2
293498,3
156552,2.833333333
16403,2.541666667
389093,2.444444444
252147,5
223096,2.5
115201,3
595786,5.833333333
694584,2
155897,3.136363636
18951,2.875
22217,3
391641,2.142857143
114546,3
487236,2
184293,2
47347,2.25
582831,3
18296,2.5
1498263,2
150263,2.25
242592,3.6
220010,3
1402013,2
54013,2.388888889
1124918,2
286491,2
12662,1.923076923
356238,3
216089,2
219355,2.25
56561,2.466666667
617893,2
318153,2
148890,2.5
178004,2
15210,3.4
459154,5
114860,2.75
790493,2
225958,3
624496,2
85809,2.4375
73509,2
184607,1.714285714
1203879,1.666666667
528246,3
306050,2.4
391300,1.75
143256,2
251151,1.777777778
88357,2.375
114205,3.8
3107,2.75
515946,5
623841,2
483629,2.428571429
597993,5
375797,2
349949,3
72854,2
47006,3.333333333
21158,3.548387097
17955,2
282750,2
656292,2
216403,2
452147,1.666666667
311998,2
178318,2.714285714
9055,1.888888889
12321,2.333333333
355897,3
248065,3.8125
754435,2
82068,3
56220,4.8
285495,3.391304348
317812,5.25
11603,2.392857143
14869,2
110464,2
114519,2.285714286
225617,4
513057,2
73168,5
184266,2.5
18269,2.530612245
445858,2.416666667
279861,3
5969,2.1
541453,2
346342,2
486554,2.625
75716,2
183611,2.2
983890,2
142260,2.918918919
913488,2
519005,2
216062,3
82382,2.352941176
1124236,2
37765,2.25
8714,3.409090909
41031,3.666666667
547401,2
107512,2.759259259
78461,6.625
110778,2
620414,2
451151,2
314205,2.363636364
343319,3
852892,2
148208,2.84
11262,2.227272727
177322,2
14528,4.666666667
409800,1.833333333
550012,2
81009,2
205718,6
882140,2.333333333
859558,2.166666667
748460,2
1117884,2
471365,2
139308,2.916666667
142574,2
168422,2.125
5628,15
116726,3.111111111
209055,2
375115,2
581745,3
75375,2.666666667
46324,2
4973,4.65034965
240717,3.5
211666,2.666666667
74720,2.571428571
170315,2
33369,4
879054,2
311316,3.833333333
148522,3.571428571
11576,2
40690,2.1875
576174,2
244117,3.166666667
107171,3
273231,3
110437,2.4
1292440,2
645921,2.214285714
339712,2.25
202766,2.5
176918,2.571428571
39972,8.8
180184,2
10921,2
715668,2
412662,2.333333333
383611,2.222222222
272513,3
275779,2.166666667
106516,2.032786885
109782,2.4
342260,2
208580,3
205377,2
134912,2.5
582059,5
46638,2.034482759
1516081,2
2021,2.418918919
817866,1.666666667
116385,1.714285714
5287,3.666666667
374711,3.4
677717,2
514923,3
540771,3.333333333
237828,2
913461,2
75034,3.333333333
639569,2
1149205,2
281727,2.4
196477,2.333333333
33683,4.5
4632,2
266224,2.5
240376,3.333333333
103430,2.128205128
211325,3.4
199025,2
173177,1.666666667
33028,2.371428571
11235,2
546719,2.538461538
243776,2.142857143
782463,2
106830,4
368422,3
479520,2
202425,2
852210,2
741112,4
205691,2
68745,3.647058824
549267,2
409118,2
246324,3
135226,4.033333333
230821,6.4
204973,3
179125,3.333333333
603511,4
42242,2.952380952
68090,2
891,1.75
1515740,2
4946,1.666666667
374370,3
307171,2
447383,1.818181818
199339,2
167022,5
4228,2.692307692
170288,2
376981,2
103089,2.2
74038,2.5
309782,4
143785,2
32687,2
6839,2.833333333
272486,2
106489,3.155844156
1209711,3
342233,2
205287,2.666666667
202084,1.833333333
65138,2.157894737
39290,3.357142857
629673,2.333333333
1416404,3
300882,2
109037,3.423076923
23787,4
138151,2.071428571
1205,2.954545455
1209056,2
341578,2
230480,3.666666667
38635,2
714268,2
466224,2
300227,2
163281,2
535971,2
550,3.25
258876,2
1448200,2
240349,4.8
1474048,2
169884,2.111111111
29735,2.363636364
198998,2.777777778
169947,2.5
33001,2.142857143
7153,4.3
58849,3.8
402425,2.285714286
1339713,2
169229,3.4375
195077,4.666666667
172495,2
567767,2.666666667
35549,4
6498,6.2
32346,4
596881,2
131144,2
363685,2
226739,2.5
1582060,2
201743,4.6
38949,4.315789474
492386,2
326389,2
437487,2.75
163595,2.666666667
189443,2
23446,3.833333333
864,3.888888889
396136,2
67345,3.564102564
93193,4
354785,2
838573,2
162940,3
25994,2.272727273
146,2.95412844
137092,2
51842,2
232687,2
494279,3.5
328282,2
638546,2
1011236,2
29394,1.857142857
734141,2
402084,2
290986,3
268404,2
128255,3
360733,2.333333333
338151,3.25
57790,2.6
172154,2.5
35208,2.928571429
969230,2
267749,2.509090909
156651,2.888888889
130803,2.846153846
637173,3.333333333
500227,2
529341,2
507548,3
204605,2
466197,5
26308,3.611940299
23105,3.479166667
424846,2.272727273
233001,3.5
121903,2
92852,1.6
879583,2
67004,2
494593,3.333333333
1167023,2
51501,2.861111111
162599,2
136751,3
25653,4
1210922,2
