avg_PR,avg_PR_val,avg_PR_top_collabs,avg_disrupt,avg_disrupt_val,avg_disrupt_top_collabs,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_lin_damp_top_collabs
David J. Witherspoon,0.070660445,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",,,,Hugo Y K Lam,16.47191616,"[""Jane Peterson"",""Felsenfeld Al"",""Stephen T. Sherry"",""Terrence S. Furey"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Webb Miller"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]"
Daniel J. Weisenberger,0.069713255,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,Bryan R. Lajoie,16.3371247,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Brian A Walker,0.067460137,"[""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]",,,,Preti Jain,15.98942465,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
B. Arman Aksoy,0.066734808,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,Jingyi Jessica Li,15.64060606,"[""Michael B. Eisen"",""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Deqing Pei,0.066533026,"[""David J. Dooling"",""Lucinda Fulton""]",,,,Zhaoshi Jiang,15.58262711,"[""Granger G. Sutton"",""Deanna M. Church"",""Terrence S. Furey"",""Michael C. Zody"",""LaDeana W. Hillier"",""Lucinda Fulton"",""Webb Miller""]"
Sahil Seth,0.064418635,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,Jordi Barretina,15.10615974,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]"
Yinlong Xie,0.063385974,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",,,,Selina Vattathil,15.06990069,"[""Granger G. Sutton"",""Arian Smit"",""Lucinda Fulton"",""Webb Miller"",""W. James Kent""]"
Mara Rosenberg,0.051678879,"[""Michael C. Wendl"",""Timothy Fennell"",""Robert C. Onofrio""]",,,,Zhuzhu Zhang,14.7116291,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Felix Schlesinger,0.051307257,"[""Terrence S. Furey"",""LaDeana W. Hillier"",""Webb Miller"",""W. James Kent""]",,,,Nathan Boley,14.42356415,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent""]"
Angeliki Kerasidou,0.050882326,"[""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Lucinda Fulton"",""David R. Bentley"",""W. James Kent"",""Mark S. Guyer""]",,,,Francesca Antonacci,13.9963818,"[""Michael C. Zody"",""LaDeana W. Hillier"",""Kevin McKernan""]"
Jordi Barretina,0.047965538,"[""Jeffrey C. Lee"",""Timothy Fennell"",""Robert C. Onofrio""]",,,,Sarah M. McWhirter,11.97031243,"[""Tom Maniatis""]"
Qunyuan Zhang,0.04787678,"[""Steven E. Scherer"",""Jane Peterson"",""Felsenfeld Al"",""Deanna M. Church"",""Stephen T. Sherry"",""Michael C. Wendl"",""David J. Dooling"",""Michael C. Zody"",""Timothy Fennell"",""Lucinda Fulton"",""David R. Bentley"",""Robert C. Onofrio"",""W. James Kent"",""Mark S. Guyer""]",,,,Jean-Philippe Theurillat,10.81753427,"[""Timothy Fennell"",""Robert C. Onofrio""]"
Christopher A. Bristow,0.040412041,"[""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Mark S. Guyer""]",,,,Lijia Ma,10.15139218,"[""Terrence S. Furey"",""Webb Miller"",""W. James Kent"",""Mark S. Guyer""]"
Gordon Saksena,0.015808901,"[""Jane Peterson"",""Michael C. Wendl"",""David J. Dooling"",""Timothy Fennell"",""Lucinda Fulton"",""Robert C. Onofrio"",""Mark S. Guyer""]",,,,T. Daniel Andrews,10.1139764,"[""Steven E. Scherer"",""Alan Coulson"",""LaDeana W. Hillier"",""David R. Bentley"",""Mark T. Ross""]"
