avg_PR,avg_PR_val,max_PR,max_PR_val,median_PR,median_PR_val,min_PR,min_PR_val,avg_AR,avg_AR_val,max_AR,max_AR_val,median_AR,median_AR_val,min_AR,min_AR_val
Jacques Monod,2.929089381,Christopher B. Burge,179.527591,S. J. Bame,0.6522055,Olivier Lafon,0.15,Robert E. Bruccoleri,1.589764761,John R. Rodgers,83.7746915,Miles Herkenham,0.43780575,Olivier Lafon,0.15
Cyrus Chothia,2.929007586,Steven E. Scherer,179.527591,Robert A. Wolfe,0.65215025,Olivier Kosmider,0.15,M. R. Cooper,1.589143045,Mitsuo Tasumi,83.7746915,Jerome Gross,0.437793,Olivier Kosmider,0.15
D. R. Curtis,2.925464071,Rajinder Kaul,179.527591,David J. Lipman,0.65169975,Olivier Koole,0.15,A. L. Page,1.588928846,Edgar F. Meyer,83.7746915,Granger G. Sutton,0.43760175,Olivier Koole,0.15
Charles T. Kresge,2.925367812,Jill P. Mesirov,179.527591,Teresa Fernandes-Alnemri,0.6516445,Olivier Kocher,0.15,Charles Tanford,1.587033563,Thomas F. Koetzle,83.7746915,Luciano Rossetti,0.437487,Olivier Kocher,0.15
Leonid Kruglyak,2.925060806,Chad Nusbaum,179.527591,Granger G. Sutton,0.6515425,Olivier Kahn,0.15,William J. Fulkerson,1.586682065,Takehiko Shimanouchi,83.7746915,R. K. H. Liem,0.43738925,Olivier Kahn,0.15
Robert J. Garrison,2.923215464,John Burton,179.527591,Mary E. Hatten,0.65099425,Olivier Kah,0.15,R. A. Fisher,1.585805243,Olga Kennard,83.7746915,Virginia S. Hinshaw,0.43720225,Olivier Kah,0.15
Mary Jane Ferraro,2.921945141,W. Richard McCombie,179.527591,Joan Keesey,0.65096875,Olivier Hamant,0.15,Harold T. Dodge,1.585716474,Alfonse T. Masi,83.6893685,R. J. Dolan,0.43689625,Olivier Hamant,0.15
Jitendra Malik,2.920376402,Kevin McKernan,179.527591,Sally H. Zigmond,0.650922,Olivier Guillou,0.15,Sheila Seal,1.585260717,Norman Talal,83.6893685,Benjamin J. Miflin,0.436858,Olivier Guillou,0.15
S. Cobbe,2.919916516,Jun Gu,179.527591,Howard E. Ganther,0.65019525,Olivier Scatton,0.15,Daniel W. Jones,1.584870436,Alan S. Cohen,83.6893685,N. Ronald Morris,0.4366795,Olivier Scatton,0.15
Richard A. Shafer,2.919029172,Sean R. Eddy,179.527591,S. Granick,0.64970225,Olivier Guillin,0.15,Donald S. Fredrickson,1.584445511,Eng M. Tan,83.6893685,Fred Winston,0.4365265,Olivier Guillin,0.15
Roel P. Funke,2.918164531,André Rosenthal,179.527591,Warren E. Ross,0.649596,Olivier François,0.15,Andreas Heger,1.5837239,Naomi F. Rothfield,83.6893685,Danny Reinberg,0.4363055,Olivier François,0.15
William J. Henzel,2.915979004,Masahira Hattori,179.527591,Simon Dack,0.649579,Olivier Francis,0.15,Vladimir Korinek,1.583559667,Robert Winchester,83.6893685,James W. Horner,0.436263,Olivier Francis,0.15
Bruce Culleton,2.915809436,Felsenfeld Al,179.527591,Donald M. Stablein,0.64941325,Olivier Fontaine,0.15,E Thomson,1.583359713,S. Moncada,82.9401785,Robert H. Waterston,0.435906,Olivier Fontaine,0.15
John R. Glover,2.915765328,Kim C. Worley,179.527591,Kevin J. Tomaselli,0.6489755,Olivier Fitoussi,0.15,Jerome S. Bruner,1.582836086,James S. Coleman,82.8467805,Katia Manova,0.435906,Olivier Fitoussi,0.15
Richard Tizard,2.91472338,Asao Fujiyama,179.527591,Mia J. Tegner,0.648865,Olivier Feron,0.15,Reubin Andres,1.582807833,Ramesh Govindan,82.710568,Barclay An,0.4358635,Olivier Feron,0.15
Allan C. Wilson,2.913182267,Takehiko Itoh,179.527591,A. Horsman,0.648848,Olivier Feraud,0.15,Simon L. Howell,1.582507908,Deborah Estrin,82.710568,Dragana Cado,0.4357785,Olivier Feraud,0.15
Tong Ihn Lee,2.908136965,Matthias Platzer,179.527591,Eli Canaani,0.6484655,Olivier Felician,0.15,Amy A. Caudy,1.582240825,Anil K. Jain,82.657681,Kristine L. MacDonald,0.43564675,Olivier Felician,0.15
Robert Kamen,2.906150746,Lucinda Fulton,179.527591,Lorenz E. Zimmerman,0.647981,Olivier Fayet,0.15,E. P. Greenberg,1.581180737,R. Gordon Douglas,82.5374145,Wolfhard Almers,0.4355745,Olivier Fayet,0.15
Harold Weintraub,2.90588078,Lee Rowen,179.527591,Peter K. Wellauer,0.6474285,Olivier Favez,0.15,Gilean McVean,1.580579651,John E. Bennett,82.5374145,Jeffrey C. Magee,0.435532,Olivier Favez,0.15
David L. Pearle,2.900713184,Evan E. Eichler,179.527591,Floyd D. Loop,0.6472755,Olivier Faure,0.15,Aram V. Chobanian,1.579787046,Gerald L. Mandell,82.5374145,K. K. Kelly,0.4352005,Olivier Faure,0.15
Lisa French,2.892452797,Sean Humphray,179.527591,Joel D. Killen,0.64717775,Olivier Farges,0.15,Nikola P. Pavletich,1.579093262,Paul R. Rosenbaum,82.2447595,Raleigh A. Bowden,0.434716,Olivier Farges,0.15
James F. Fries,2.891427645,Kenneth H. Wolfe,179.527591,Wayne H. Akeson,0.64695675,Olivier Fardel,0.15,Saul Genuth,1.578081222,James J. Gibson,82.1021805,R. Kuntzman,0.434546,Olivier Fardel,0.15
Douglas B. Rusch,2.889396008,Nicola Mulder,179.527591,Seymour J. Klebanoff,0.6468845,Olivier Fain,0.15,Darrel A. Regier,1.577304821,Roger E. Kirk,81.9691555,Masatoshi Takeichi,0.4345035,Olivier Fain,0.15
Ramon Parsons,2.886986527,Eugene V. Koonin,179.527591,E. B. Astwood,0.6467995,Olivier Facy,0.15,Eugene R. Passamani,1.576428256,Akira Fujishima,81.9499455,Ann Cork,0.43435475,Olivier Facy,0.15
J. Craig Venter,2.885968676,James E. Galagan,179.527591,Francine Brière,0.6466465,Olivier F. Bertrand,0.15,Carol Redmond,1.57621848,Kenichi Honda,81.9499455,Mark T. Keating,0.43418475,Olivier F. Bertrand,0.15
Nathan O. Kaplan,2.880614746,Chris P. Ponting,179.527591,Chi-Cheng Luo,0.646604,Olivier Ernst,0.15,Ed Harlow,1.574194721,T. Hall,81.593328,Carla J. Shatz,0.43398925,Olivier Ernst,0.15
J. M. Bland,2.879193828,Anup Madan,179.527591,L. M. Kunkel,0.64633625,Oliver Botta,0.15,Halsted R. Holman,1.57377057,Thomas A. Witten,81.5755375,Peter C. Pairolero,0.43387025,Oliver Botta,0.15
