"name","num_pubs_pre","avg_PR_pre","max_PR_pre","median_PR_pre","num_pubs_post","avg_PR_post","max_PR_post","median_PR_post"
"Eric E. Zhang","3","0.8711088333333333","0.9406444999999999","0.859512","1","0.19690300000000002","0.19690300000000002","0.19690300000000002"
"Meytal Landau","2","0.35952075","0.399917","0.35952075","1","0.1521845","0.1521845","0.1521845"
"Achim Thomzig","3","0.388187","0.4553115000000001","0.44747450000000005","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Taj D. King","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Bhanupriya Madarampalli","1","0.17729350000000002","0.17729350000000002","0.17729350000000002","1","0.15170850000000002","0.15170850000000002","0.15170850000000002"
"Cheng-Ran Xu","3","0.34249100000000005","0.557745","0.270768","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"C. Florian Bentzinger","3","0.7161623333333335","1.5767930000000001","0.40373349999999997","1","0.19923200000000002","0.19923200000000002","0.19923200000000002"
"Marcos V. A. S. Navarro","1","0.31806199999999996","0.31806199999999996","0.31806199999999996","1","0.18439950000000002","0.18439950000000002","0.18439950000000002"
"Lianne Epstein","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Roberta Donadelli","2","0.31807474999999996","0.48614949999999996","0.31807474999999996","1","0.15860200000000002","0.15860200000000002","0.15860200000000002"
"Mauricio Berriel Diaz","1","0.19896","0.19896","0.19896","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Jessica A. Lehoczky","3","0.2503113333333334","0.38887550000000004","0.2120585","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Max Wuehr","1","0.22156150000000005","0.22156150000000005","0.22156150000000005","3","0.158483","0.16372750000000003","0.16172150000000002"
"Mp Nilsson","1","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Syed Ziauddin A. Zaidi","2","0.15000000000000002","0.15000000000000002","0.15000000000000002","1","0.15000000000000002","0.15000000000000002","0.15000000000000002"
"Damya Laoui","1","0.42167699999999997","0.42167699999999997","0.42167699999999997","1","0.17562750000000005","0.17562750000000005","0.17562750000000005"
"Robert J. Macfarlane","8","0.588291875","2.0837075","0.39139575","1","0.15432650000000003","0.15432650000000003","0.15432650000000003"
"Xin Ming Jia","1","0.21697150000000004","0.21697150000000004","0.21697150000000004","1","0.1564345","0.1564345","0.1564345"
