title,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2557795,7.6237785,7.920301,8.180418,8.5462665,8.863257,9.35845,9.7634665,10.2924215,10.600623,11.0019335,11.2965435,11.6191695,11.8867495,12.096385,12.467971,12.7447055,13.1482005,13.357462,13.56255
activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.532645,7.846448,7.947938,8.3182575,8.634772,8.940653,9.07769,9.2428705,9.46716,9.7171025,9.89709,10.0006285,10.3848965,10.620967,10.8795115,11.0119415,11.249474,11.457384,11.7854075,11.9957995,12.1528455,12.298357,12.53889,12.6982395,12.8316385,13.1903385
beitrag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.909375,9.909375,10.164375,10.164375,10.164375,10.164375,10.26,10.26,10.2638675,10.2638675,10.265508,10.393008,10.393008,10.3933565,10.394997,10.394997,10.4130595,10.4130595,10.4130595,10.4201485,10.4206925,10.4206925,10.4266595,10.4809405,10.488616,10.489517,10.4933505,10.49579,10.5044685,10.5149065,10.5606535,10.570267,10.583391,10.5892815,10.5987165,10.6074035,10.62873,10.6366945,10.6374595,10.646784,10.6506005,10.653414,10.6582505,10.787221,10.7896775,10.7968005
formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0760495,8.427244,8.8948035,9.0896575,9.385058,9.6308865,9.891063,10.370259,10.6840875,11.012604,11.251199,11.5977015,12.0680235,12.2493285,12.6741925
related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.342012,8.1483135,8.3462785,8.717006,9.2361945,9.525169,10.2870155,10.7569295,11.275387,11.4945425,11.7353135,12.057506,12.4296955,12.7900445
infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.890426,8.2364015,8.8118515,9.045219,9.3062455,9.5591885,10.131638,10.858337,11.306848,11.547585,12.0418175,12.3099925,12.577598
life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.728131,8.903911,9.126237,9.1688135,9.254383,9.4244255,9.584319,9.8185705,10.1027765,10.1774405,10.188057,10.221343,10.2858835,10.498868,10.568058,10.6492925,10.75414,10.904437,10.938165,11.111174,11.1466615,11.163228,11.247174,11.3251615,11.383463
part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9786645,8.314134,8.630011,8.884161,9.0227875,9.2913705,9.575041,10.003356,10.1272265,10.395291,10.643814,10.826955,10.9341485,11.2049245,11.260285,11.372468,11.695808,11.8178935,12.046008
reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5523885,8.60219,9.1437675,9.595942,9.893697,10.0499865,10.5108395,10.568903,10.750769,11.1031535,11.4125195,11.766298
magnetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9104765,7.465603,8.0173805,8.261798,8.7840465,9.1164305,9.4533365,9.765601,10.0769305,10.38333,10.7528165,10.832249,11.3526785,11.614147,11.735816,12.2082885,12.309974,12.4366495
